CMDLINE 720
MEM 747.968750 1699537723.7851
MEM 747.968750 1699537723.8853
MEM 747.968750 1699537723.9855
MEM 747.968750 1699537724.0856
MEM 747.968750 1699537724.1858
MEM 747.968750 1699537724.2859
MEM 747.968750 1699537724.3860
MEM 747.968750 1699537724.4863
MEM 747.968750 1699537724.5864
MEM 747.968750 1699537724.6865
MEM 747.968750 1699537724.7867
MEM 747.968750 1699537724.8869
MEM 747.968750 1699537724.9872
MEM 747.968750 1699537725.0874
MEM 747.968750 1699537725.1876
MEM 747.968750 1699537725.2878
MEM 747.968750 1699537725.3879
MEM 747.968750 1699537725.4881
MEM 747.968750 1699537725.5883
MEM 747.968750 1699537725.6886
MEM 747.968750 1699537725.7888
MEM 747.968750 1699537725.8890
MEM 747.968750 1699537725.9892
MEM 747.968750 1699537726.0894
MEM 747.968750 1699537726.1896
MEM 747.968750 1699537726.2898
MEM 747.968750 1699537726.3900
MEM 747.968750 1699537726.4902
MEM 747.968750 1699537726.5904
MEM 747.968750 1699537726.6905
MEM 747.968750 1699537726.7907
MEM 747.968750 1699537726.8909
MEM 747.968750 1699537726.9910
MEM 747.968750 1699537727.0912
MEM 747.968750 1699537727.1914
MEM 747.968750 1699537727.2915
MEM 747.968750 1699537727.3917
MEM 777.101562 1699537727.4919
MEM 777.101562 1699537727.5921
MEM 777.101562 1699537727.6922
MEM 777.101562 1699537727.7924
MEM 775.250000 1699537727.8926
MEM 775.250000 1699537727.9928
MEM 775.250000 1699537728.0929
MEM 775.250000 1699537728.1930
MEM 775.250000 1699537728.2932
MEM 775.250000 1699537728.3933
MEM 639.886719 1699537728.4935
MEM 639.886719 1699537728.5937
MEM 639.886719 1699537728.6938
MEM 636.867188 1699537728.7942
MEM 636.867188 1699537728.8944
MEM 635.480469 1699537728.9945
MEM 635.480469 1699537729.0947
MEM 635.378906 1699537729.1948
MEM 637.378906 1699537729.2950
MEM 628.136719 1699537729.3952
MEM 630.136719 1699537729.4954
MEM 630.136719 1699537729.5956
MEM 632.136719 1699537729.6958
MEM 634.136719 1699537729.7960
MEM 634.136719 1699537729.8962
MEM 625.472656 1699537729.9963
MEM 625.472656 1699537730.0965
MEM 627.472656 1699537730.1967
MEM 627.472656 1699537730.2968
MEM 626.953125 1699537730.3970
MEM 625.710938 1699537730.4972
MEM 625.710938 1699537730.5973
MEM 625.710938 1699537730.6975
MEM 678.785156 1699537730.7977
MEM 680.074219 1699537730.8979
MEM 680.371094 1699537730.9981
MEM 680.371094 1699537731.0982
MEM 680.519531 1699537731.1985
MEM 680.394531 1699537731.2986
MEM 678.933594 1699537731.3988
MEM 675.343750 1699537731.4990
MEM 675.343750 1699537731.5992
MEM 675.343750 1699537731.6993
MEM 675.285156 1699537731.7995
MEM 671.679688 1699537731.8997
MEM 671.277344 1699537731.9999
MEM 664.000000 1699537732.1001
MEM 664.000000 1699537732.2002
MEM 664.000000 1699537732.3004
MEM 664.000000 1699537732.4005
MEM 663.828125 1699537732.5007
MEM 663.828125 1699537732.6009
MEM 663.828125 1699537732.7011
MEM 663.828125 1699537732.8012
MEM 663.828125 1699537732.9014
MEM 661.746094 1699537733.0015
MEM 661.714844 1699537733.1017
MEM 684.320312 1699537733.2019
MEM 671.781250 1699537733.3021
MEM 671.781250 1699537733.4023
MEM 671.781250 1699537733.5024
MEM 667.425781 1699537733.6026
MEM 667.648438 1699537733.7028
MEM 667.648438 1699537733.8128
MEM 667.648438 1699537733.9130
MEM 662.492188 1699537734.0131
MEM 662.492188 1699537734.1132
MEM 662.082031 1699537734.2134
MEM 661.605469 1699537734.3135
MEM 661.605469 1699537734.4137
MEM 660.324219 1699537734.5139
MEM 660.324219 1699537734.6140
MEM 660.324219 1699537734.7142
MEM 660.324219 1699537734.8143
MEM 655.601562 1699537734.9145
MEM 655.601562 1699537735.0147
MEM 655.601562 1699537735.1148
MEM 655.601562 1699537735.2150
MEM 651.730469 1699537735.3152
MEM 651.730469 1699537735.4153
MEM 651.730469 1699537735.5155
MEM 651.730469 1699537735.6157
MEM 651.730469 1699537735.7159
MEM 685.585938 1699537735.8160
MEM 685.843750 1699537735.9162
MEM 685.832031 1699537736.0164
MEM 685.832031 1699537736.1165
MEM 682.488281 1699537736.2167
MEM 681.984375 1699537736.3169
MEM 680.882812 1699537736.4171
MEM 677.875000 1699537736.5173
MEM 676.238281 1699537736.6175
MEM 676.238281 1699537736.7176
MEM 675.906250 1699537736.8178
MEM 667.476562 1699537736.9180
MEM 663.285156 1699537737.0181
MEM 663.285156 1699537737.1183
MEM 663.285156 1699537737.2184
MEM 662.984375 1699537737.3186
MEM 662.984375 1699537737.4187
MEM 662.984375 1699537737.5189
MEM 662.984375 1699537737.6191
MEM 658.789062 1699537737.7193
MEM 657.652344 1699537737.8195
MEM 657.527344 1699537737.9196
MEM 657.527344 1699537738.0198
MEM 657.527344 1699537738.1199
MEM 657.527344 1699537738.2201
MEM 655.894531 1699537738.3202
MEM 655.894531 1699537738.4204
MEM 655.894531 1699537738.5205
MEM 655.894531 1699537738.6207
MEM 655.894531 1699537738.7208
MEM 653.964844 1699537738.8210
MEM 653.964844 1699537738.9211
MEM 653.964844 1699537739.0213
MEM 653.964844 1699537739.1214
MEM 686.761719 1699537739.2216
MEM 687.007812 1699537739.3218
MEM 687.007812 1699537739.4220
MEM 687.007812 1699537739.5222
MEM 687.210938 1699537739.6224
MEM 687.210938 1699537739.7226
MEM 687.210938 1699537739.8228
MEM 687.210938 1699537739.9229
MEM 687.210938 1699537740.0231
MEM 687.210938 1699537740.1233
MEM 686.140625 1699537740.2234
MEM 686.140625 1699537740.3235
MEM 686.140625 1699537740.4237
MEM 682.062500 1699537740.5238
MEM 681.027344 1699537740.6239
MEM 679.988281 1699537740.7241
MEM 673.164062 1699537740.8242
MEM 673.066406 1699537740.9243
MEM 673.066406 1699537741.0245
MEM 673.066406 1699537741.1246
MEM 665.332031 1699537741.2247
MEM 665.332031 1699537741.3249
MEM 665.332031 1699537741.4251
MEM 665.332031 1699537741.5252
MEM 665.332031 1699537741.6253
MEM 659.738281 1699537741.7255
MEM 659.738281 1699537741.8257
MEM 659.738281 1699537741.9258
MEM 659.738281 1699537742.0260
MEM 659.738281 1699537742.1261
MEM 654.863281 1699537742.2262
MEM 654.863281 1699537742.3264
MEM 654.863281 1699537742.4265
MEM 654.863281 1699537742.5267
MEM 654.863281 1699537742.6268
MEM 654.781250 1699537742.7269
MEM 654.781250 1699537742.8271
MEM 654.781250 1699537742.9272
